ranking,song,band_singer,Gender,songurl,titletext,url,year,Song ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
1,Breathe,Faith Hill,#N/A,/wiki/Breathe_(Faith_Hill_song),Breathe,/wiki/Faith_Hill,2000,3y4LxiYMgDl4RethdzpmNe,0.529,0.496,7,-9.007,1,0.029,0.173,0,0.251,0.278,136.859,audio_features,3y4LxiYMgDl4RethdzpmNe,https://api.spotify.com/v1/tracks/3y4LxiYMgDl4RethdzpmNe,https://api.spotify.com/v1/audio-analysis/3y4LxiYMgDl4RethdzpmNe,250547,4
2,Smooth,Santana,#N/A,/wiki/Smooth_(Santana_song),Smooth,/wiki/Santana_(band),2000,0n2SEXB2qoRQg171q7XqeW,0.609,0.923,9,-3.908,1,0.0338,0.16,4.73E-06,0.295,0.961,115.996,audio_features,0n2SEXB2qoRQg171q7XqeW,https://api.spotify.com/v1/tracks/0n2SEXB2qoRQg171q7XqeW,https://api.spotify.com/v1/audio-analysis/0n2SEXB2qoRQg171q7XqeW,294987,4
2,Smooth,Rob Thomas,#N/A,/wiki/Smooth_(Santana_song),Smooth,/wiki/Rob_Thomas_(musician),2000,5IALWUYK0zDSEmZgb4ICvc,0.59,0.637,9,-9.171,1,0.0301,0.00225,0.807,0.299,0.724,115.983,audio_features,5IALWUYK0zDSEmZgb4ICvc,https://api.spotify.com/v1/tracks/5IALWUYK0zDSEmZgb4ICvc,https://api.spotify.com/v1/audio-analysis/5IALWUYK0zDSEmZgb4ICvc,244924,4
3,Maria Maria,Santana,#N/A,/wiki/Maria_Maria,Maria Maria,/wiki/Santana_(band),2000,3XKIUb7HzIF1Vu9usunMzc,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,audio_features,3XKIUb7HzIF1Vu9usunMzc,https://api.spotify.com/v1/tracks/3XKIUb7HzIF1Vu9usunMzc,https://api.spotify.com/v1/audio-analysis/3XKIUb7HzIF1Vu9usunMzc,261973,4
3,Maria Maria,The Product G&B,#N/A,/wiki/Maria_Maria,Maria Maria,/wiki/The_Product_G%26B,2000,3XKIUb7HzIF1Vu9usunMzc,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,,,,,,
4,I Wanna Know,Joe,#N/A,/wiki/I_Wanna_Know_(Joe_song),I Wanna Know,/wiki/Joe_(singer),2000,1m2xMsxbtxv21Brome189p,0.725,0.487,8,-5.959,0,0.0368,0.26,1.09E-05,0.431,0.599,136.086,audio_features,1m2xMsxbtxv21Brome189p,https://api.spotify.com/v1/tracks/1m2xMsxbtxv21Brome189p,https://api.spotify.com/v1/audio-analysis/1m2xMsxbtxv21Brome189p,296693,4
5,Everything You Want,Vertical Horizon,#N/A,/wiki/Everything_You_Want_(Vertical_Horizon_song),Everything You Want,/wiki/Vertical_Horizon,2000,4cKGldbhGJniI8BrB3K6tb,0.636,0.761,3,-6.389,0,0.0306,0.0517,0,0.0642,0.736,93.896,audio_features,4cKGldbhGJniI8BrB3K6tb,https://api.spotify.com/v1/tracks/4cKGldbhGJniI8BrB3K6tb,https://api.spotify.com/v1/audio-analysis/4cKGldbhGJniI8BrB3K6tb,257067,4
6,Say My Name,Destiny's Child,Band,/wiki/Say_My_Name,Say My Name,/wiki/Destiny%27s_Child,2000,7H6ev70Weq6DdpZyyTmUXk,0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,,,,,,
7,I Knew I Loved You,Savage Garden,#N/A,/wiki/I_Knew_I_Loved_You_(Savage_Garden_song),I Knew I Loved You,/wiki/Savage_Garden,2000,6nozDLxeL0TE4MS9GqYU1v,0.61,0.497,9,-9.88,1,0.0279,0.32,6.11E-05,0.0884,0.739,85.031,audio_features,6nozDLxeL0TE4MS9GqYU1v,https://api.spotify.com/v1/tracks/6nozDLxeL0TE4MS9GqYU1v,https://api.spotify.com/v1/audio-analysis/6nozDLxeL0TE4MS9GqYU1v,250360,4
8,Amazed,Lonestar,#N/A,/wiki/Amazed,Amazed,/wiki/Lonestar,2000,6qc34bnVOyqGDPni8H5W0U,0.561,0.543,1,-8.498,1,0.0324,0.26,0,0.124,0.243,139.803,audio_features,6qc34bnVOyqGDPni8H5W0U,https://api.spotify.com/v1/tracks/6qc34bnVOyqGDPni8H5W0U,https://api.spotify.com/v1/audio-analysis/6qc34bnVOyqGDPni8H5W0U,240867,4
